,pgn,uci,name,wdl
1041,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'b6']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'b7b6']",Ruy Lopez: Rotary-Albany Gambit,
1042,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'd5']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd7d5']",Ruy Lopez: Spanish Countergambit,
1043,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'Qe7']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd8e7']",Ruy Lopez: Vinogradov Variation,
1044,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'Nd4']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'c6d4']",Ruy Lopez: Bird Variation,
1045,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'd6']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'd7d6']",Ruy Lopez: Steinitz Defense,
1046,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'f5']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'f7f5']",Ruy Lopez: Schliemann Defense,
1047,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'Bc5']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'f8c5']",Ruy Lopez: Classical Variation,
1048,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'Nf6']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'g8f6']",Ruy Lopez: Berlin Defense,
1049,"['e4', 'e5', 'Nf3', 'Nc6', 'Bb5', 'a6']","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'a7a6']",Ruy Lopez: Morphy Defense,
1050,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'Nf6']","['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6']",Blackmar-Diemer Gambit,
1051,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'e5']","['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'e7e5']",Blackmar-Diemer Gambit: Lemberger Countergambit,
1052,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'f5']","['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'f7f5']",Blackmar-Diemer Gambit: Netherlands Variation,
1053,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'c5']","['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'c7c5']",Blackmar-Diemer Gambit: Reversed Albin Countergambit,
1054,"['d4', 'd5', 'e4', 'dxe4', 'Nc3', 'Bf5']","['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'c8f5']",Blackmar-Diemer Gambit: Zeller Defense,
1055,"['d4', 'g6', 'Nf3', 'Bg7', 'Nc3', 'd5']","['d2d4', 'g7g6', 'g1f3', 'f8g7', 'b1c3', 'd7d5']","Queen's Pawn Game: Chigorin Variation, Fianchetto Defense",
1056,"['d4', 'Nf6', 'Nc3', 'd5', 'Bg5', 'Bf5']","['d2d4', 'g8f6', 'b1c3', 'd7d5', 'c1g5', 'c8f5']",Richter-Veresov Attack,
1057,"['d4', 'Nf6', 'Nc3', 'd5', 'Bg5', 'Ne4']","['d2d4', 'g8f6', 'b1c3', 'd7d5', 'c1g5', 'f6e4']",Richter-Veresov Attack: Boyce Defense,
1058,"['d4', 'd5', 'Nf3', 'Nf6', 'c4', 'b5']","['d2d4', 'd7d5', 'g1f3', 'g8f6', 'c2c4', 'b7b5']",Queen's Pawn Game: Zilbermints Countergambit,
1059,"['d4', 'd5', 'Nf3', 'Nf6', 'Bg5', 'Ne4']","['d2d4', 'd7d5', 'g1f3', 'g8f6', 'c1g5', 'f6e4']","Queen's Pawn Game: Torre Attack, Gossip Variation",
1060,"['d4', 'd5', 'Nf3', 'Nf6', 'Bg5', 'g6']","['d2d4', 'd7d5', 'g1f3', 'g8f6', 'c1g5', 'g7g6']","Queen's Pawn Game: Torre Attack, Grünfeld Variation",
1061,"['d4', 'd5', 'Nf3', 'Nf6', 'e3', 'Bf5']","['d2d4', 'd7d5', 'g1f3', 'g8f6', 'e2e3', 'c8f5']","Queen's Pawn Game: Colle System, Anti-Colle",
1062,"['d4', 'd5', 'Nf3', 'Nf6', 'e3', 'e6']","['d2d4', 'd7d5', 'g1f3', 'g8f6', 'e2e3', 'e7e6']",Queen's Pawn Game: Colle System,
1063,"['d4', 'd5', 'c4', 'c5', 'dxc5', 'd4']","['d2d4', 'd7d5', 'c2c4', 'c7c5', 'd4c5', 'd5d4']","Queen's Gambit Declined: Austrian Attack, Salvio Countergambit",
1064,"['d4', 'd5', 'c4', 'c5', 'cxd5', 'Nf6']","['d2d4', 'd7d5', 'c2c4', 'c7c5', 'c4d5', 'g8f6']","Queen's Gambit Declined: Austrian Defense, Gusev Countergambit",
1065,"['d4', 'd5', 'c4', 'Nf6', 'cxd5', 'c6']","['d2d4', 'd7d5', 'c2c4', 'g8f6', 'c4d5', 'c7c6']","Queen's Gambit Declined: Marshall Defense, Tan Gambit",
1066,"['d4', 'd5', 'c4', 'Nc6', 'Nc3', 'dxc4']","['d2d4', 'd7d5', 'c2c4', 'b8c6', 'b1c3', 'd5c4']",Queen's Gambit Declined: Chigorin Defense,
1067,"['d4', 'd5', 'c4', 'Nc6', 'cxd5', 'Qxd5']","['d2d4', 'd7d5', 'c2c4', 'b8c6', 'c4d5', 'd8d5']","Queen's Gambit Declined: Chigorin Defense, Exchange Variation",
1068,"['d4', 'd5', 'c4', 'Nc6', 'Nf3', 'e5']","['d2d4', 'd7d5', 'c2c4', 'b8c6', 'g1f3', 'e7e5']","Queen's Gambit Declined: Chigorin Defense, Lazard Gambit",
1069,"['d4', 'd5', 'c4', 'Nc6', 'Nf3', 'Bg4']","['d2d4', 'd7d5', 'c2c4', 'b8c6', 'g1f3', 'c8g4']","Queen's Gambit Declined: Chigorin Defense, Main Line",
1070,"['d4', 'd5', 'c4', 'Nc6', 'Nc3', 'e5']","['d2d4', 'd7d5', 'c2c4', 'b8c6', 'b1c3', 'e7e5']","Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit",
1071,"['d4', 'd5', 'c4', 'c6', 'Nc3', 'dxc4']","['d2d4', 'd7d5', 'c2c4', 'c7c6', 'b1c3', 'd5c4']",Slav Defense,
1072,"['d4', 'd5', 'c4', 'c6', 'Nc3', 'e5']","['d2d4', 'd7d5', 'c2c4', 'c7c6', 'b1c3', 'e7e5']",Slav Defense: Winawer Countergambit,
1073,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'Nf6']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'g8f6']","Queen's Gambit Accepted: Central Variation, Alekhine System",
1074,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'b5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'b7b5']","Queen's Gambit Accepted: Central Variation, Greco Variation",
1075,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'e5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'e7e5']","Queen's Gambit Accepted: Central Variation, McDonnell Defense",
1076,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'Nc6']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'b8c6']","Queen's Gambit Accepted: Central Variation, Modern Defense",
1077,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'c5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'c7c5']","Queen's Gambit Accepted: Central Variation, Rubinstein Defense",
1078,"['d4', 'd5', 'c4', 'dxc4', 'e4', 'f5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'e2e4', 'f7f5']",Queen's Gambit Accepted: Schwartz Defense,
1079,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'Nd7']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'b8d7']",Queen's Gambit Accepted: Godes Variation,
1080,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'c5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'c7c5']",Queen's Gambit Accepted: Gunsberg Defense,
1081,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'e6']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'e7e6']",Queen's Gambit Accepted: Rosenthal Variation,
1082,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'b5']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'b7b5']",Queen's Gambit Accepted: Slav Gambit,
1083,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'a6']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'a7a6']",Queen's Gambit Accepted: Alekhine Defense,
1084,"['d4', 'd5', 'c4', 'dxc4', 'Nf3', 'Nf6']","['d2d4', 'd7d5', 'c2c4', 'd5c4', 'g1f3', 'g8f6']",Queen's Gambit Accepted,
1085,"['d4', 'd5', 'c4', 'e6', 'Nf3', 'c5']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'g1f3', 'c7c5']","Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",
1086,"['d4', 'e6', 'c4', 'b6', 'Nc3', 'd5']","['d2d4', 'e7e6', 'c2c4', 'b7b6', 'b1c3', 'd7d5']",Queen's Gambit Declined: Alapin Variation,
1087,"['d4', 'd5', 'c4', 'e6', 'Nc3', 'Be7']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'f8e7']",Queen's Gambit Declined: Charousek Variation,
1088,"['d4', 'd5', 'c4', 'e6', 'Nc3', 'a6']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'a7a6']",Queen's Gambit Declined: Janowski Variation,
1089,"['d4', 'd5', 'c4', 'e6', 'Nc3', 'c6']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'c7c6']",Semi-Slav Defense: Accelerated Move Order,
1090,"['d4', 'd5', 'c4', 'e6', 'Nc3', 'c5']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'c7c5']",Tarrasch Defense,
1091,"['d4', 'd5', 'c4', 'e6', 'Nc3', 'Nf6']","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'g8f6']",Queen's Gambit Declined: Normal Defense,
1092,"['d4', 'Nf6', 'c4', 'g6', 'f3', 'd5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'f2f3', 'd7d5']",Neo-Grünfeld Defense: Goglidze Attack,
1093,"['d4', 'Nf6', 'c4', 'g6', 'Nf3', 'd5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'g1f3', 'd7d5']",Neo-Grünfeld Defense: with Nf3,
1094,"['d4', 'Nf6', 'c4', 'g6', 'g3', 'd5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'g2g3', 'd7d5']",Neo-Grünfeld Defense: with g3,
1095,"['d4', 'Nf6', 'c4', 'g6', 'Nc3', 'd5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'b1c3', 'd7d5']",Grünfeld Defense,
1096,"['d4', 'Nf6', 'c4', 'e6', 'g3', 'd5']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g2g3', 'd7d5']",Catalan Opening,
1097,"['d4', 'Nf6', 'c4', 'e6', 'g3', 'e5']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g2g3', 'e6e5']",Catalan Opening: Hungarian Gambit,
1098,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'a6']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'a7a6']",Indian Defense: Dzindzi-Indian Defense,
1099,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'Ne4']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'f6e4']",Indian Defense: Döry Indian,
1100,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'Bb4+']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'f8b4']",Bogo-Indian Defense,
1101,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'b6']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'b7b6']",Queen's Indian Defense,
1102,"['d4', 'Nf6', 'c4', 'e6', 'Nc3', 'Bb4']","['d2d4', 'g8f6', 'c2c4', 'e7e6', 'b1c3', 'f8b4']",Nimzo-Indian Defense,
1103,"['d4', 'Nf6', 'c4', 'g6', 'd5', 'b5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'd4d5', 'b7b5']","Indian Defense: Anti-Grünfeld, Adorjan Gambit",
1104,"['d4', 'Nf6', 'c4', 'g6', 'f3', 'e5']","['d2d4', 'g8f6', 'c2c4', 'g7g6', 'f2f3', 'e7e5']","Indian Defense: Anti-Grünfeld, Alekhine Variation, Leko Gambit",
1105,"['f3', 'd5', 'e4', 'g6', 'd4', 'dxe4', 'c3']","['f2f3', 'd7d5', 'e2e4', 'g7g6', 'd2d4', 'd5e4', 'c2c3']",Barnes Opening: Gedult Gambit,
1106,"['g4', 'd5', 'Bg2', 'e5', 'd4', 'exd4', 'c3']","['g2g4', 'd7d5', 'f1g2', 'e7e5', 'd2d4', 'e5d4', 'c2c3']","Grob Opening: Grob Gambit, Keres Gambit",
1107,"['g4', 'd5', 'Bg2', 'c6', 'c4', 'dxc4', 'b3']","['g2g4', 'd7d5', 'f1g2', 'c7c6', 'c2c4', 'd5c4', 'b2b3']","Grob Opening: Grob Gambit, Richter-Grob Gambit",
1108,"['g4', 'd5', 'e4', 'dxe4', 'Nc3', 'e5', 'd3']","['g2g4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'e7e5', 'd2d3']","Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",
1109,"['g3', 'e5', 'Nf3', 'e4', 'Ng1', 'Nf6', 'b4']","['g2g3', 'e7e5', 'g1f3', 'e5e4', 'f3g1', 'g8f6', 'b2b4']","Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",
1110,"['g3', 'd5', 'Bg2', 'e5', 'c4', 'dxc4', 'b3']","['g2g3', 'd7d5', 'f1g2', 'e7e5', 'c2c4', 'd5c4', 'b2b3']",Hungarian Opening: Winterberg Gambit,
1111,"['h4', 'd5', 'd4', 'c5', 'Nf3', 'cxd4', 'c3']","['h2h4', 'd7d5', 'd2d4', 'c7c5', 'g1f3', 'c5d4', 'c2c3']",Kádas Opening: Kádas Gambit,
1112,"['b4', 'e6', 'Bb2', 'Nf6', 'b5', 'd5', 'e3']","['b2b4', 'e7e6', 'c1b2', 'g8f6', 'b4b5', 'd7d5', 'e2e3']",Polish Opening: Schiffler-Sokolsky Variation,
1113,"['b4', 'c6', 'Bb2', 'a5', 'b5', 'cxb5', 'e4']","['b2b4', 'c7c6', 'c1b2', 'a7a5', 'b4b5', 'c6b5', 'e2e4']",Polish Opening: Schuehler Gambit,
1114,"['Nc3', 'e5', 'b3', 'd5', 'e4', 'dxe4', 'd3']","['b1c3', 'e7e5', 'b2b3', 'd7d5', 'e2e4', 'd5e4', 'd2d3']",Van Geet Opening: Gladbacher Gambit,
1115,"['Nc3', 'c5', 'd4', 'cxd4', 'Qxd4', 'Nc6', 'Qh4']","['b1c3', 'c7c5', 'd2d4', 'c5d4', 'd1d4', 'b8c6', 'd4h4']",Van Geet Opening: Novosibirsk Variation,
1116,"['Nc3', 'd5', 'f4', 'd4', 'Ne4', 'e5', 'Nf3']","['b1c3', 'd7d5', 'f2f4', 'd5d4', 'c3e4', 'e7e5', 'g1f3']","Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit",
1117,"['Nc3', 'e5', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qa4']","['b1c3', 'e7e5', 'd2d4', 'e5d4', 'd1d4', 'b8c6', 'd4a4']",Van Geet Opening: Reversed Scandinavian,
1118,"['Nc3', 'c5', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4']","['b1c3', 'c7c5', 'g1f3', 'b8c6', 'd2d4', 'c5d4', 'f3d4']",Van Geet Opening: Sicilian Two Knights,
1119,"['e3', 'e5', 'Nc3', 'Nf6', 'f4', 'exf4', 'Nf3']","['e2e3', 'e7e5', 'b1c3', 'g8f6', 'f2f4', 'e5f4', 'g1f3']","Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation",
1120,"['e3', 'e5', 'Nc3', 'Nc6', 'f4', 'exf4', 'Nf3']","['e2e3', 'e7e5', 'b1c3', 'b8c6', 'f2f4', 'e5f4', 'g1f3']","Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation",
1121,"['e3', 'e5', 'Nc3', 'd5', 'f4', 'exf4', 'Nf3']","['e2e3', 'e7e5', 'b1c3', 'd7d5', 'f2f4', 'e5f4', 'g1f3']","Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation",
1122,"['a4', 'e5', 'a5', 'd5', 'e3', 'f5', 'a6']","['a2a4', 'e7e5', 'a4a5', 'd7d5', 'e2e3', 'f7f5', 'a5a6']",Ware Opening: Ware Gambit,
1123,"['f4', 'e5', 'd4', 'exd4', 'Nf3', 'c5', 'c3']","['f2f4', 'e7e5', 'd2d4', 'e5d4', 'g1f3', 'c7c5', 'c2c3']",Bird Opening: Siegener Gambit,
1124,"['f4', 'f5', 'e4', 'fxe4', 'Nc3', 'Nf6', 'g4']","['f2f4', 'f7f5', 'e2e4', 'f5e4', 'b1c3', 'g8f6', 'g2g4']",Bird Opening: Swiss Gambit,
1125,"['f4', 'd5', 'e4', 'dxe4', 'Nc3', 'Nf6', 'Qe2']","['f2f4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6', 'd1e2']",Bird Opening: Williams Gambit,
1126,"['f4', 'd5', 'e4', 'dxe4', 'Nc3', 'Nf6', 'Nge2']","['f2f4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6', 'g1e2']",Bird Opening: Williams-Zilbermints Gambit,
1127,"['Nf3', 'd5', 'b3', 'Nf6', 'Bb2', 'c5', 'e4']","['g1f3', 'd7d5', 'b2b3', 'g8f6', 'c1b2', 'c7c5', 'e2e4']",Nimzo-Larsen Attack: Norfolk Gambit,
1128,"['Nf3', 'd5', 'e3', 'c5', 'c4', 'dxc4', 'b3']","['g1f3', 'd7d5', 'e2e3', 'c7c5', 'c2c4', 'd5c4', 'b2b3']",Zukertort Opening: Pachman Gambit,
1129,"['Nf3', 'd5', 'b3', 'c5', 'c4', 'dxc4', 'Nc3']","['g1f3', 'd7d5', 'b2b3', 'c7c5', 'c2c4', 'd5c4', 'b1c3']",Zukertort Opening: Regina-Nu Gambit,
1130,"['Nf3', 'd5', 'c4', 'd4', 'e3', 'c5', 'b4']","['g1f3', 'd7d5', 'c2c4', 'd5d4', 'e2e3', 'c7c5', 'b2b4']",Réti Opening: Reversed Blumenfeld Gambit,
1131,"['c4', 'f5', 'Nc3', 'Nf6', 'e4', 'fxe4', 'g4']","['c2c4', 'f7f5', 'b1c3', 'g8f6', 'e2e4', 'f5e4', 'g2g4']",English Opening: Porcupine Variation,
1132,"['Nf3', 'Nf6', 'c4', 'c6', 'b3', 'd5', 'Bb2']","['g1f3', 'g8f6', 'c2c4', 'c7c6', 'b2b3', 'd7d5', 'c1b2']","Réti Opening: Anglo-Slav Variation, Bogoljubov Variation",
1133,"['Nf3', 'Nf6', 'c4', 'g6', 'Nc3', 'Bg7', 'e4']","['g1f3', 'g8f6', 'c2c4', 'g7g6', 'b1c3', 'f8g7', 'e2e4']","English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",
1134,"['c4', 'Nf6', 'Nc3', 'd5', 'cxd5', 'Nxd5', 'Nf3']","['c2c4', 'g8f6', 'b1c3', 'd7d5', 'c4d5', 'f6d5', 'g1f3']","English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",
1135,"['c4', 'Nf6', 'Nc3', 'e6', 'Nf3', 'Bb4', 'g4']","['c2c4', 'g8f6', 'b1c3', 'e7e6', 'g1f3', 'f8b4', 'g2g4']","English Opening: Anglo-Indian Defense, Zvjaginsev-Krasenkow Attack",
1136,"['c4', 'Nf6', 'Nc3', 'e6', 'e4', 'd5', 'e5']","['c2c4', 'g8f6', 'b1c3', 'e7e6', 'e2e4', 'd7d5', 'e4e5']",English Opening: Mikenas-Carls Variation,
1137,"['c4', 'e5', 'e3', 'Nf6', 'f4', 'exf4', 'Nf3']","['c2c4', 'e7e5', 'e2e3', 'g8f6', 'f2f4', 'e5f4', 'g1f3']","English Opening: King's English Variation, Kahiko-Hula Gambit",
1138,"['c4', 'e5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'e4']","['c2c4', 'e7e5', 'b1c3', 'g8f6', 'g1f3', 'b8c6', 'e2e4']","English Opening: Four Knights System, Nimzowitsch Variation",
1139,"['c4', 'e5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'd3']","['c2c4', 'e7e5', 'b1c3', 'g8f6', 'g1f3', 'b8c6', 'd2d3']","English Opening: King's English Variation, Four Knights Variation, Flexible Line",
1140,"['c4', 'e5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'a3']","['c2c4', 'e7e5', 'b1c3', 'g8f6', 'g1f3', 'b8c6', 'a2a3']","English Opening: King's English Variation, Four Knights Variation, Korchnoi Line",
1141,"['c4', 'e5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'e3']","['c2c4', 'e7e5', 'b1c3', 'g8f6', 'g1f3', 'b8c6', 'e2e3']","English Opening: King's English Variation, Four Knights Variation, Quiet Line",
1142,"['c4', 'e5', 'Nc3', 'Nf6', 'Nf3', 'Nc6', 'g3']","['c2c4', 'e7e5', 'b1c3', 'g8f6', 'g1f3', 'b8c6', 'g2g3']","English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",
1143,"['d4', 'e5', 'dxe5', 'Nc6', 'Nf3', 'Qe7', 'Qd5']","['d2d4', 'e7e5', 'd4e5', 'b8c6', 'g1f3', 'd8e7', 'd1d5']",Englund Gambit Complex: Stockholm Variation,
1144,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'c5', 'e3']","['d2d4', 'g7g6', 'c2c4', 'f8g7', 'b1c3', 'c7c5', 'e2e3']","Pterodactyl Defense: Queen Pterodactyl, Quiet Line",
1145,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'e4']","['d2d4', 'g7g6', 'c2c4', 'f8g7', 'b1c3', 'd7d6', 'e2e4']",Modern Defense: Averbakh System,
1146,"['d4', 'Nf6', 'g4', 'Nxg4', 'f3', 'Nf6', 'e4']","['d2d4', 'g8f6', 'g2g4', 'f6g4', 'f2f3', 'g4f6', 'e2e4']","Indian Defense: Gibbins-Weidenhagen Gambit, Maltese Falcon",
1147,"['d4', 'Nf6', 'e4', 'Nxe4', 'Bd3', 'Nf6', 'Bg5']","['d2d4', 'g8f6', 'e2e4', 'f6e4', 'f1d3', 'e4f6', 'c1g5']","Indian Defense: Omega Gambit, Arafat Gambit",
1148,"['d4', 'Nf6', 'Bg5', 'c5', 'd5', 'Qb6', 'Nc3']","['d2d4', 'g8f6', 'c1g5', 'c7c5', 'd4d5', 'd8b6', 'b1c3']",Trompowsky Attack: Poisoned Pawn Variation,
1149,"['d4', 'Nf6', 'Nf3', 'e6', 'Nc3', 'd5', 'Bg5']","['d2d4', 'g8f6', 'g1f3', 'e7e6', 'b1c3', 'd7d5', 'c1g5']","Queen's Pawn Game: Veresov Attack, Classical Defense",
1150,"['d4', 'Nf6', 'Nf3', 'e6', 'Bg5', 'c5', 'e4']","['d2d4', 'g8f6', 'g1f3', 'e7e6', 'c1g5', 'c7c5', 'e2e4']",Torre Attack: Wagner Gambit,
1151,"['d4', 'Nf6', 'c4', 'Nc6', 'd5', 'Ne5', 'f4']","['d2d4', 'g8f6', 'c2c4', 'b8c6', 'd4d5', 'c6e5', 'f2f4']",Mexican Defense: Horsefly Gambit,
1152,"['d4', 'Nf6', 'c4', 'e5', 'dxe5', 'Ne4', 'Qc2']","['d2d4', 'g8f6', 'c2c4', 'e7e5', 'd4e5', 'f6e4', 'd1c2']","Indian Defense: Budapest Defense, Fajarowicz-Steiner Variation",
1153,"['d4', 'Nf6', 'c4', 'e5', 'dxe5', 'Ng4', 'Nf3']","['d2d4', 'g8f6', 'c2c4', 'e7e5', 'd4e5', 'f6g4', 'g1f3']","Indian Defense: Budapest Defense, Adler Variation",
1154,"['d4', 'Nf6', 'c4', 'e5', 'dxe5', 'Ng4', 'e4']","['d2d4', 'g8f6', 'c2c4', 'e7e5', 'd4e5', 'f6g4', 'e2e4']","Indian Defense: Budapest Defense, Alekhine Variation",
1155,"['d4', 'Nf6', 'c4', 'e5', 'dxe5', 'Ng4', 'Bf4']","['d2d4', 'g8f6', 'c2c4', 'e7e5', 'd4e5', 'f6g4', 'c1f4']","Indian Defense: Budapest Defense, Rubinstein Variation",
1156,"['d4', 'Nf6', 'c4', 'd6', 'Nc3', 'Bf5', 'g3']","['d2d4', 'g8f6', 'c2c4', 'd7d6', 'b1c3', 'c8f5', 'g2g3']","Old Indian Defense: Janowski Variation, Fianchetto Variation",
1157,"['d4', 'Nf6', 'c4', 'd6', 'Nc3', 'Bf5', 'e4']","['d2d4', 'g8f6', 'c2c4', 'd7d6', 'b1c3', 'c8f5', 'e2e4']","Old Indian Defense: Janowski Variation, Grinberg Gambit",
1158,"['d4', 'Nf6', 'c4', 'd6', 'Nc3', 'Bf5', 'f3']","['d2d4', 'g8f6', 'c2c4', 'd7d6', 'b1c3', 'c8f5', 'f2f3']","Old Indian Defense: Janowski Variation, Main Line",
1159,"['d4', 'Nf6', 'c4', 'd6', 'Nc3', 'e5', 'Nf3']","['d2d4', 'g8f6', 'c2c4', 'd7d6', 'b1c3', 'e7e5', 'g1f3']",Old Indian Defense: Two Knights Variation,
1160,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'Bg5']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'c1g5']",Benko Gambit Declined: Bishop Attack,
1161,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'e4']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'e2e4']",Benko Gambit Declined: Hjørring Countergambit,
1162,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'Nf3']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'g1f3']",Benko Gambit Declined: Main Line,
1163,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'f3']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'f2f3']",Benko Gambit Declined: Pseudo-Sämisch,
1164,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'Nd2']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'b1d2']",Benko Gambit Declined: Quiet Line,
1165,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'a4']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'a2a4']",Benko Gambit Declined: Sosonko Variation,
1166,"['d4', 'Nf6', 'c4', 'c5', 'd5', 'b5', 'g4']","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'd4d5', 'b7b5', 'g2g4']",Benko Gambit: Mutkin Countergambit,
